r,g,b
222.0,209.0,178.0
221.0,217.0,183.0
228.0,211.0,159.0
225.0,199.0,151.0
183.0,176.0,137.0
174.0,168.0,124.0
168.0,164.0,125.0
146.0,149.0,118.0
129.0,132.0,104.0
134.0,135.0,108.0
136.0,139.0,107.0
165.0,164.0,125.0
185.0,179.0,138.0
183.0,176.0,135.0
158.0,160.0,128.0
162.0,165.0,139.0
161.0,153.0,130.0
156.0,147.0,129.0
175.0,178.0,175.0
182.0,188.0,187.0
184.0,173.0,157.0
194.0,161.0,110.0
181.0,133.0,63.0
151.0,103.0,30.0
131.0,83.0,10.0
121.0,74.0,2.0
116.0,71.0,2.0
123.0,79.0,8.0
117.0,74.0,16.0
104.0,70.0,38.0
166.0,148.0,123.0
160.0,147.0,124.0
159.0,144.0,122.0
207.0,188.0,161.0
208.0,188.0,160.0
206.0,187.0,158.0
204.0,184.0,156.0
205.0,181.0,147.0
209.0,181.0,143.0
217.0,194.0,164.0
165.0,143.0,116.0
123.0,112.0,106.0
109.0,114.0,134.0
116.0,121.0,143.0
104.0,80.0,95.0
140.0,78.0,88.0
141.0,77.0,88.0
136.0,75.0,86.0
196.0,195.0,157.0
182.0,187.0,149.0
188.0,181.0,132.0
210.0,195.0,150.0
184.0,179.0,139.0
177.0,172.0,125.0
176.0,171.0,124.0
147.0,152.0,113.0
140.0,144.0,106.0
158.0,156.0,118.0
170.0,166.0,125.0
204.0,197.0,152.0
186.0,180.0,139.0
175.0,172.0,136.0
170.0,173.0,144.0
174.0,175.0,153.0
157.0,151.0,133.0
161.0,159.0,150.0
170.0,175.0,180.0
157.0,167.0,173.0
158.0,161.0,161.0
208.0,189.0,167.0
196.0,157.0,111.0
190.0,152.0,96.0
166.0,122.0,57.0
135.0,89.0,23.0
127.0,81.0,13.0
133.0,86.0,18.0
132.0,83.0,31.0
112.0,74.0,42.0
132.0,115.0,90.0
132.0,120.0,99.0
134.0,122.0,102.0
176.0,161.0,138.0
186.0,169.0,144.0
192.0,174.0,148.0
195.0,177.0,150.0
199.0,177.0,144.0
207.0,182.0,149.0
191.0,172.0,145.0
133.0,121.0,114.0
124.0,124.0,141.0
121.0,127.0,147.0
102.0,108.0,131.0
91.0,82.0,102.0
103.0,61.0,73.0
88.0,45.0,56.0
82.0,40.0,51.0
167.0,178.0,133.0
140.0,158.0,112.0
129.0,141.0,93.0
159.0,162.0,125.0
156.0,160.0,129.0
166.0,164.0,128.0
174.0,171.0,134.0
157.0,159.0,131.0
145.0,146.0,130.0
151.0,149.0,134.0
178.0,172.0,149.0
213.0,204.0,169.0
195.0,192.0,156.0
157.0,162.0,131.0
152.0,159.0,133.0
161.0,162.0,140.0
164.0,160.0,147.0
181.0,185.0,186.0
178.0,188.0,195.0
157.0,167.0,175.0
173.0,176.0,176.0
225.0,211.0,195.0
186.0,151.0,122.0
198.0,171.0,140.0
205.0,173.0,132.0
194.0,158.0,114.0
183.0,146.0,101.0
176.0,137.0,96.0
172.0,131.0,99.0
135.0,104.0,76.0
134.0,115.0,86.0
132.0,116.0,90.0
126.0,112.0,89.0
130.0,115.0,91.0
140.0,124.0,98.0
151.0,135.0,108.0
153.0,137.0,112.0
155.0,139.0,112.0
170.0,151.0,122.0
148.0,136.0,124.0
120.0,121.0,136.0
121.0,125.0,145.0
98.0,104.0,127.0
84.0,91.0,114.0
62.0,70.0,92.0
35.0,33.0,47.0
55.0,47.0,61.0
67.0,57.0,74.0
134.0,152.0,105.0
121.0,145.0,95.0
106.0,128.0,81.0
134.0,146.0,115.0
142.0,147.0,124.0
157.0,158.0,139.0
153.0,153.0,150.0
132.0,134.0,136.0
128.0,129.0,133.0
131.0,131.0,137.0
139.0,137.0,139.0
155.0,151.0,142.0
150.0,151.0,138.0
133.0,139.0,127.0
129.0,134.0,126.0
128.0,131.0,126.0
136.0,138.0,139.0
145.0,150.0,156.0
145.0,150.0,156.0
141.0,145.0,152.0
186.0,186.0,185.0
235.0,223.0,210.0
178.0,145.0,118.0
176.0,156.0,132.0
195.0,177.0,150.0
209.0,187.0,161.0
220.0,198.0,171.0
233.0,209.0,183.0
195.0,171.0,147.0
175.0,153.0,128.0
203.0,179.0,149.0
198.0,176.0,146.0
184.0,166.0,138.0
176.0,158.0,129.0
179.0,159.0,126.0
184.0,162.0,125.0
173.0,152.0,118.0
154.0,134.0,103.0
137.0,121.0,100.0
119.0,118.0,129.0
117.0,123.0,142.0
105.0,112.0,133.0
87.0,94.0,118.0
67.0,78.0,100.0
53.0,64.0,85.0
55.0,61.0,79.0
65.0,71.0,81.0
48.0,56.0,73.0
133.0,151.0,105.0
114.0,136.0,91.0
96.0,120.0,77.0
135.0,145.0,118.0
155.0,153.0,130.0
153.0,152.0,139.0
117.0,120.0,129.0
96.0,100.0,110.0
96.0,98.0,107.0
95.0,97.0,106.0
97.0,97.0,106.0
101.0,102.0,107.0
102.0,104.0,111.0
103.0,106.0,114.0
103.0,107.0,115.0
97.0,100.0,111.0
94.0,98.0,109.0
98.0,99.0,108.0
100.0,101.0,107.0
105.0,105.0,111.0
133.0,132.0,133.0
204.0,194.0,183.0
176.0,144.0,118.0
143.0,128.0,109.0
152.0,147.0,131.0
161.0,155.0,141.0
186.0,172.0,154.0
227.0,201.0,177.0
164.0,139.0,116.0
168.0,152.0,131.0
194.0,174.0,144.0
204.0,184.0,153.0
202.0,185.0,157.0
198.0,181.0,154.0
197.0,180.0,152.0
196.0,179.0,150.0
194.0,177.0,148.0
183.0,165.0,139.0
128.0,122.0,125.0
101.0,104.0,121.0
85.0,89.0,107.0
69.0,75.0,94.0
53.0,61.0,83.0
40.0,48.0,69.0
43.0,53.0,74.0
46.0,55.0,73.0
55.0,63.0,71.0
39.0,40.0,51.0
167.0,176.0,138.0
115.0,134.0,92.0
97.0,115.0,76.0
145.0,149.0,119.0
167.0,166.0,126.0
138.0,139.0,122.0
96.0,100.0,109.0
86.0,90.0,99.0
84.0,86.0,96.0
83.0,85.0,94.0
81.0,83.0,92.0
78.0,81.0,90.0
83.0,86.0,96.0
90.0,93.0,104.0
84.0,88.0,99.0
79.0,83.0,94.0
82.0,86.0,97.0
87.0,90.0,101.0
88.0,89.0,98.0
91.0,90.0,98.0
81.0,80.0,85.0
117.0,103.0,97.0
175.0,136.0,111.0
173.0,150.0,127.0
163.0,153.0,134.0
160.0,153.0,136.0
181.0,165.0,145.0
208.0,178.0,154.0
156.0,131.0,107.0
