x_coordinate,y_coordinate,r,g,b
1.0,1.0,222.0,209.0,178.0
1.0,2.0,221.0,217.0,183.0
1.0,3.0,228.0,211.0,159.0
1.0,4.0,225.0,199.0,151.0
1.0,5.0,183.0,176.0,137.0
1.0,6.0,174.0,168.0,124.0
1.0,7.0,168.0,164.0,125.0
1.0,8.0,146.0,149.0,118.0
1.0,9.0,129.0,132.0,104.0
1.0,10.0,134.0,135.0,108.0
1.0,11.0,136.0,139.0,107.0
1.0,12.0,165.0,164.0,125.0
1.0,13.0,185.0,179.0,138.0
1.0,14.0,183.0,176.0,135.0
1.0,15.0,158.0,160.0,128.0
1.0,16.0,162.0,165.0,139.0
1.0,17.0,161.0,153.0,130.0
1.0,18.0,156.0,147.0,129.0
1.0,19.0,175.0,178.0,175.0
1.0,20.0,182.0,188.0,187.0
1.0,21.0,184.0,173.0,157.0
1.0,22.0,194.0,161.0,110.0
1.0,23.0,181.0,133.0,63.0
1.0,24.0,151.0,103.0,30.0
1.0,25.0,131.0,83.0,10.0
1.0,26.0,121.0,74.0,2.0
1.0,27.0,116.0,71.0,2.0
1.0,28.0,123.0,79.0,8.0
1.0,29.0,117.0,74.0,16.0
1.0,30.0,104.0,70.0,38.0
1.0,31.0,166.0,148.0,123.0
1.0,32.0,160.0,147.0,124.0
1.0,33.0,159.0,144.0,122.0
1.0,34.0,207.0,188.0,161.0
1.0,35.0,208.0,188.0,160.0
1.0,36.0,206.0,187.0,158.0
1.0,37.0,204.0,184.0,156.0
1.0,38.0,205.0,181.0,147.0
1.0,39.0,209.0,181.0,143.0
1.0,40.0,217.0,194.0,164.0
1.0,41.0,165.0,143.0,116.0
1.0,42.0,123.0,112.0,106.0
1.0,43.0,109.0,114.0,134.0
1.0,44.0,116.0,121.0,143.0
1.0,45.0,104.0,80.0,95.0
1.0,46.0,140.0,78.0,88.0
1.0,47.0,141.0,77.0,88.0
1.0,48.0,136.0,75.0,86.0
2.0,1.0,196.0,195.0,157.0
2.0,2.0,182.0,187.0,149.0
2.0,3.0,188.0,181.0,132.0
2.0,4.0,210.0,195.0,150.0
2.0,5.0,184.0,179.0,139.0
2.0,6.0,177.0,172.0,125.0
2.0,7.0,176.0,171.0,124.0
2.0,8.0,147.0,152.0,113.0
2.0,9.0,140.0,144.0,106.0
2.0,10.0,158.0,156.0,118.0
2.0,11.0,170.0,166.0,125.0
2.0,12.0,204.0,197.0,152.0
2.0,13.0,186.0,180.0,139.0
2.0,14.0,175.0,172.0,136.0
2.0,15.0,170.0,173.0,144.0
2.0,16.0,174.0,175.0,153.0
2.0,17.0,157.0,151.0,133.0
2.0,18.0,161.0,159.0,150.0
2.0,19.0,170.0,175.0,180.0
2.0,20.0,157.0,167.0,173.0
2.0,21.0,158.0,161.0,161.0
2.0,22.0,208.0,189.0,167.0
2.0,23.0,196.0,157.0,111.0
2.0,24.0,190.0,152.0,96.0
2.0,25.0,166.0,122.0,57.0
2.0,26.0,135.0,89.0,23.0
2.0,27.0,127.0,81.0,13.0
2.0,28.0,133.0,86.0,18.0
2.0,29.0,132.0,83.0,31.0
2.0,30.0,112.0,74.0,42.0
2.0,31.0,132.0,115.0,90.0
2.0,32.0,132.0,120.0,99.0
2.0,33.0,134.0,122.0,102.0
2.0,34.0,176.0,161.0,138.0
2.0,35.0,186.0,169.0,144.0
2.0,36.0,192.0,174.0,148.0
2.0,37.0,195.0,177.0,150.0
2.0,38.0,199.0,177.0,144.0
2.0,39.0,207.0,182.0,149.0
2.0,40.0,191.0,172.0,145.0
2.0,41.0,133.0,121.0,114.0
2.0,42.0,124.0,124.0,141.0
2.0,43.0,121.0,127.0,147.0
2.0,44.0,102.0,108.0,131.0
2.0,45.0,91.0,82.0,102.0
2.0,46.0,103.0,61.0,73.0
2.0,47.0,88.0,45.0,56.0
2.0,48.0,82.0,40.0,51.0
3.0,1.0,167.0,178.0,133.0
3.0,2.0,140.0,158.0,112.0
3.0,3.0,129.0,141.0,93.0
3.0,4.0,159.0,162.0,125.0
