war_num,war_name,war_type_code,war_type,war_subtype,total_participants,start_date,start_year,end_date,end_year,lagging_war,leading_war,ongoing_war,total_days_in_war,start_date_estimated,end_date_estimated,file_name
997.0,Rada'a War,7.0,Intra-State War,Intercommunal,2,2014-09-16,2014,2021-07-19,2021,-8.0,233.0,1.0,,0.0,0.0,war_num_997_0.json
994.0,Second Libyan Civil War,4.0,Intra-State War,Civil War (for central control),2,2014-05-16,2014,2021-07-19,2021,-8.0,-8.0,1.0,,0.0,0.0,war_num_994_0.json
993.0,Donbas War,5.0,Intra-State War,Civil War (over local issues),3,2014-04-15,2014,2021-07-19,2021,-8.0,-8.0,1.0,,0.0,0.0,war_num_993_0.json
992.5,Somali-Al-Shabaab war,4.0,Intra-State War,Civil War (for central control),8,2014-03-03,2014,2021-07-19,2021,-8.0,-8.0,1.0,,0.0,0.0,war_num_992_5.json
991.4,Afghan-Taliban War,4.0,Intra-State War,Civil War (for central control),3,2014-01-01,2014,2021-07-19,2021,481.0,-8.0,1.0,,0.0,0.0,war_num_991_4.json
992.0,Third Al-Houthi Rebellion,4.0,Intra-State War,Civil War (for central control),2,2014-02-28,2014,2015-03-24,2015,-8.0,233.0,0.0,,0.0,0.0,war_num_992_0.json
991.5,ISIS-al Nusra Front War,7.0,Intra-State War,Intercommunal,2,2014-01-01,2014,2014-06-04,2014,-8.0,485.0,0.0,,1.0,0.0,war_num_991_5.json
991.0,South Sudan War,4.0,Intra-State War,Civil War (for central control),3,2013-12-15,2013,2021-07-19,2021,-8.0,-8.0,1.0,,0.0,0.0,war_num_991_0.json
990.4,Boko Haram in Nigeria,4.0,Intra-State War,Civil War (for central control),5,2013-05-07,2013,2021-07-19,2021,-8.0,-8.0,1.0,,0.0,0.0,war_num_990_4.json
990.0,Central African Republic War,4.0,Intra-State War,Civil War (for central control),3,2012-12-10,2012,2013-03-25,2013,-8.0,-8.0,0.0,,0.0,0.0,war_num_990_0.json
985.0,North Mali War,5.0,Intra-State War,Civil War (over local issues),5,2012-01-16,2012,2013-03-02,2013,-8.0,-8.0,0.0,,0.0,0.0,war_num_985_0.json
979.0,Syrian Arab Spring War,4.0,Intra-State War,Civil War (for central control),3,2011-06-06,2011,2021-07-19,2021,-8.0,-8.0,1.0,,0.0,0.0,war_num_979_0.json
978.0,Sudan Revolutionary Front Rebellion,4.0,Intra-State War,Civil War (for central control),2,2011-06-05,2011,2021-07-19,2021,-8.0,-8.0,1.0,,0.0,0.0,war_num_978_0.json
