group,variable,value,index
1,1,100,1
2,1,100,2
3,1,100,3
4,1,100,4
W,1,100,W
B,1,100,B
1,2,100,5
2,2,100,6
3,2,100,7
4,2,100,8
W,2,100,W
B,2,100,B
1,3,100,9
2,3,100,10
3,3,100,11
4,3,100,12
W,3,100,W
B,3,100,B
1,4,100,13
2,4,100,14
3,4,100,15
4,4,100,16
W,4,100,W
B,4,100,B
1,5,100,17
2,5,100,18
3,5,100,19
4,5,100,20
W,5,100,W
B,5,100,B
1,6,100,21
2,6,100,22
3,6,100,23
4,6,100,24
W,6,100,W
B,6,100,B
1,7,100,25
2,7,100,26
3,7,100,27
4,7,100,28
W,7,100,W
B,7,100,B
1,8,100,29
2,8,100,30
3,8,100,31
4,8,100,32
W,8,100,W
B,8,100,B
1,9,100,33
2,9,100,34
3,9,100,35
4,9,100,36
W,9,100,W
B,9,100,B
1,10,100,37
2,10,100,38
3,10,100,39
4,10,100,40
W,10,100,W
B,10,100,B
1,11,100,41
2,11,100,42
3,11,100,43
4,11,100,44
W,11,100,W
B,11,100,B
1,12,100,45
2,12,100,46
3,12,100,47
4,12,100,48
W,12,100,W
B,12,100,B
