group,variable,value,color_index,rect_index
1,1,100,1,1
2,1,100,2,2
3,1,100,3,3
4,1,100,4,4
W,1,100,W,5
B,1,100,B,6
1,2,100,5,7
2,2,100,6,8
3,2,100,7,9
4,2,100,8,10
W,2,100,W,11
B,2,100,B,12
1,3,100,9,13
2,3,100,10,14
3,3,100,11,15
4,3,100,12,16
W,3,100,W,17
B,3,100,B,18
1,4,100,13,19
2,4,100,14,20
3,4,100,15,21
4,4,100,16,22
W,4,100,W,23
B,4,100,B,24
1,5,100,17,25
2,5,100,18,26
3,5,100,19,27
4,5,100,20,28
W,5,100,W,29
B,5,100,B,30
1,6,100,21,31
2,6,100,22,32
3,6,100,23,33
4,6,100,24,34
W,6,100,W,35
B,6,100,B,36
1,7,100,25,37
2,7,100,26,38
3,7,100,27,39
4,7,100,28,40
W,7,100,W,41
B,7,100,B,42
1,8,100,29,43
2,8,100,30,44
3,8,100,31,45
4,8,100,32,46
W,8,100,W,47
B,8,100,B,48
1,9,100,33,49
2,9,100,34,50
3,9,100,35,51
4,9,100,36,52
W,9,100,W,53
B,9,100,B,54
1,10,100,37,55
2,10,100,38,56
3,10,100,39,57
4,10,100,40,58
W,10,100,W,59
B,10,100,B,60
