file_name,war_num,war_name,war_type_code,war_type,war_sub_type,total_participants,start_year,end_year,lagging_war,leading_war,ongoing_war,start_date,end_date,total_days_in_war,start_date_estimated,end_date_estimated
war_num_997_0.json,997.0,Rada'a War,7.0,Intra-State War,Intercommunal,2.0,2014.0,,,233.0,1.0,2014-09-16,,,0.0,0.0
war_num_994_0.json,994.0,Second Libyan Civil War,4.0,Intra-State War,Civil War (for central control),2.0,2014.0,,,,1.0,2014-05-16,,,0.0,0.0
war_num_993_0.json,993.0,Donbas War,5.0,Intra-State War,Civil War (over local issues),3.0,2014.0,,,,1.0,2014-04-15,,,0.0,0.0
war_num_992_5.json,992.5,Somali-Al-Shabaab war,4.0,Intra-State War,Civil War (for central control),8.0,2014.0,,,,1.0,2014-03-03,,,0.0,0.0
war_num_991_4.json,991.4,Afghan-Taliban War,4.0,Intra-State War,Civil War (for central control),3.0,2014.0,,481.0,,1.0,2014-01-01,,,0.0,0.0
war_num_992_0.json,992.0,Third Al-Houthi Rebellion,4.0,Intra-State War,Civil War (for central control),2.0,2014.0,2015.0,,233.0,0.0,2014-02-28,2015-03-24,389.0,0.0,0.0
war_num_991_5.json,991.5,ISIS-al Nusra Front War,7.0,Intra-State War,Intercommunal,2.0,2014.0,2014.0,,485.0,0.0,2014-01-01,2014-06-04,154.0,1.0,0.0
war_num_991_0.json,991.0,South Sudan War,4.0,Intra-State War,Civil War (for central control),3.0,2013.0,,,,1.0,2013-12-15,,,0.0,0.0
war_num_990_4.json,990.4,Boko Haram in Nigeria,4.0,Intra-State War,Civil War (for central control),5.0,2013.0,,,,1.0,2013-05-07,,,0.0,0.0
war_num_990_0.json,990.0,Central African Republic War,4.0,Intra-State War,Civil War (for central control),3.0,2012.0,2013.0,,,0.0,2012-12-10,2013-03-25,105.0,0.0,0.0
war_num_985_0.json,985.0,North Mali War,5.0,Intra-State War,Civil War (over local issues),5.0,2012.0,2013.0,,,0.0,2012-01-16,2013-03-02,411.0,0.0,0.0
war_num_979_0.json,979.0,Syrian Arab Spring War,4.0,Intra-State War,Civil War (for central control),3.0,2011.0,,,,1.0,2011-06-06,,,0.0,0.0
war_num_978_0.json,978.0,Sudan Revolutionary Front Rebellion,4.0,Intra-State War,Civil War (for central control),2.0,2011.0,,,,1.0,2011-06-05,,,0.0,0.0
war_num_980_0.json,980.0,Kachin Rebellion,5.0,Intra-State War,Civil War (over local issues),2.0,2011.0,2013.0,,,0.0,2011-06-09,2013-02-01,603.0,0.0,0.0
war_num_973_0.json,973.0,Second Cote d'Ivoire War,4.0,Intra-State War,Civil War (for central control),3.0,2011.0,2011.0,,,0.0,2011-02-21,2011-04-11,49.0,0.0,0.0
war_num_976_0.json,976.0,Libyan Civil War,4.0,Intra-State War,Civil War (for central control),8.0,2011.0,2011.0,,,0.0,2011-02-18,2011-10-20,244.0,0.0,0.0
war_num_971_0.json,971.0,Iraqi Sunni Revolt,4.0,Intra-State War,Civil War (for central control),3.0,2010.0,2014.0,482.0,485.0,0.0,2010-09-01,2014-06-04,1372.0,0.0,0.0
war_num_942_0.json,942.0,Second Waziristan War,5.0,Intra-State War,Civil War (over local issues),3.0,2007.0,,,,1.0,2007-07-03,,,0.0,0.0
war_num_941_0.json,941.0,Second Al-Houthi Rebellion,4.0,Intra-State War,Civil War (for central control),2.0,2007.0,2008.0,,,0.0,2007-01-29,2008-07-16,534.0,0.0,0.0
war_num_940_8.json,940.8,Third Somalia War,4.0,Intra-State War,Civil War (for central control),8.0,2006.0,2012.0,,,0.0,2006-10-19,2012-09-29,2172.0,0.0,0.0
war_num_940_0.json,940.0,Third Sri Lanka Tamil War,5.0,Intra-State War,Civil War (over local issues),2.0,2006.0,2009.0,,,0.0,2006-07-21,2009-05-17,1031.0,0.0,0.0
