,index,date,yearly_trend_calc_2019,pred_2019,yearly_trend_calc_2018,pred_2018,yearly_trend_calc_2017,pred_2017,yearly_trend_calc_2016,pred_2016,yearly_trend_calc_2015,pred_2015,yearly_trend_calc_2014,pred_2014,num_harmed,non_observation,year,nyd
0,0,2014-01-01,,90.58478933393143,,88.09721192657635,,90.34939489537331,,91.32529377000832,,95.29533660634559,,96.32269508847558,182.0,,2014,0.0
1,1,2014-01-02,,85.972147843068,,83.04640466622375,,84.58809765314558,,85.81480609605545,,90.22111904888456,,90.00591819562324,77.0,,2014,
2,2,2014-01-03,,91.47762908562858,,89.1633138930928,,91.1776201381845,,92.44571832636274,,95.96050972309017,,99.95300682700683,96.0,,2014,
3,3,2014-01-04,,119.89125665332526,,117.74381349865365,,120.14298158511205,,121.65972722981249,,123.20294356156738,,125.24857960374524,111.0,,2014,
4,4,2014-01-05,,128.61765829625676,,126.70538732714935,,129.22705891552266,,125.81218491263803,,127.0620689161596,,124.6512577736317,97.0,,2014,
5,5,2014-01-06,,93.59511837929189,,91.50357380540557,,93.39651050445268,,93.7869804541759,,95.23812099946473,,98.0929038759194,54.0,,2014,
6,6,2014-01-07,,87.562841203167,,85.08320506206827,,86.96976303375845,,86.74732386399259,,88.99827272884515,,89.73626345284946,64.0,,2014,
7,7,2014-01-08,,86.84155556915225,,85.12554273955053,,86.28916345483036,,86.73576427169462,,90.09674280477753,,91.81462486319823,85.0,,2014,
8,8,2014-01-09,,81.8803906619608,,79.84807759873208,,80.27839664654296,,80.87363149768967,,84.94826384992558,,85.23512208644757,86.0,,2014,
9,9,2014-01-10,,87.09258073584765,,85.78460860679668,,86.66962444506795,,87.23248880579305,,90.66336395695137,,94.97811945360584,66.0,,2014,
10,10,2014-01-11,,115.27127844486532,,114.23170597108472,,115.4899099666714,,116.2571526945446,,117.92734834043364,,120.12720267864697,113.0,,2014,
11,11,2014-01-12,,123.82285895672966,,123.10635807498923,,124.48276428130052,,120.30361892161784,,121.84849780064323,,119.43843965227964,119.0,,2014,
12,12,2014-01-13,,88.68593590234714,,87.8624325896237,,88.61405329713918,,88.2539331444936,,90.12058785611022,,92.83970036886357,108.0,,2014,
13,13,2014-01-14,,82.5986234555252,,81.44196262887432,,82.20000709790851,,81.26703923123672,,84.00341951909783,,84.48842248626828,109.0,,2014,
14,14,2014-01-15,,81.87917537116645,,81.52235939093131,,81.57943364949324,,81.37893576142051,,85.24313719691641,,86.61143451018216,103.0,,2014,
15,15,2014-01-16,,76.97293056719661,,76.31631681539349,,75.6712362307062,,75.702326231372,,80.24593121211983,,80.10845751259427,104.0,,2014,
16,16,2014-01-17,,82.28812130727556,,82.3520215934936,,82.20168792965546,,82.29834498167386,,86.11357210756448,,89.95171878025185,103.0,,2014,
17,17,2014-01-18,,110.61182148455563,,110.91976990993788,,111.19102374030928,,111.5999069299776,,113.52265656425686,,115.216195557444,104.0,,2014,
18,18,2014-01-19,,119.34341394136318,,119.9297871258277,,120.37518296134495,,115.95001075647501,,117.57307427247227,,114.64914518744871,118.0,,2014,
19,19,2014-01-20,,84.41379388265254,,84.82887635730836,,84.71193454451814,,84.21702287627798,,85.95079195029709,,88.16970326706377,127.0,,2014,
20,20,2014-01-21,,78.55283799436069,,78.55190203659592,,78.50912170637265,,77.5459630250368,,79.90863774702277,,79.92692814198112,82.0,,2014,
21,21,2014-01-22,,78.07026483711982,,78.76920477475218,,78.09712123528772,,77.959108925507,,81.18685392581652,,82.13989553214958,86.0,,2014,
22,22,2014-01-23,,73.40281040424942,,73.6867077234626,,72.38660998828023,,72.55609205702042,,76.18700810418763,,75.7014557604592,59.0,,2014,
23,23,2014-01-24,,78.95026891803737,,79.82632237798848,,79.09608487853643,,79.3860530170455,,82.00770359977584,,85.57807931326937,65.0,,2014,
24,24,2014-01-25,,107.49167024918737,,108.4727498823678,,108.2386898640632,,108.87139139206607,,109.3239627347246,,110.8403015537045,129.0,,2014,
25,25,2014-01-26,,116.41896681496436,,117.53146895699462,,117.54417583814725,,113.3464273828271,,113.23578837142632,,110.23241607498,100.0,,2014,
26,26,2014-01-27,,81.65644113070171,,82.44553167885849,,81.96521968367749,,81.67299125095006,,81.4309946516231,,83.67219351386056,88.0,,2014,
27,27,2014-01-28,,75.92835810759848,,76.14716898298339,,75.80583303215174,,74.99195163306369,,75.16598929910144,,75.30899918323718,89.0,,2014,
28,28,2014-01-29,,75.53998265692512,,76.30529860403425,,75.39395116080313,,75.32399219095835,,76.1862735717399,,77.36391071378114,55.0,,2014,
29,29,2014-01-30,,70.92488213810107,,71.12569278959519,,69.63929046101848,,69.7698026640945,,70.90025068534536,,70.7334466234681,64.0,,2014,
30,30,2014-01-31,,76.48106014767018,,77.13141167540469,,76.26091777315943,,76.38224908715061,,76.41478508911723,,80.38933157420789,100.0,,2014,
31,31,2014-02-01,,104.98719033911915,,105.60959721582292,,105.27408324908089,,105.59005672593116,,103.41438985161375,,105.40881064232683,101.0,,2014,
32,32,2014-02-02,,113.83632139566814,,114.46941854781792,,114.41214201457203,,109.73632403331212,,107.00955126754224,,104.54416552577402,104.0,,2014,
33,33,2014-02-03,,78.95526361331613,,79.15879072061499,,78.63279151614978,,77.69388715948178,,74.89928903732628,,77.72221336444191,78.0,,2014,
34,34,2014-02-04,,73.07218151022884,,72.61587029449305,,72.24635695781943,,70.61655185390919,,68.35163979058693,,69.10216809583571,72.0,,2014,
35,35,2014-02-05,,72.49751438942843,,72.51642306644536,,71.5882183313969,,70.5395101962025,,69.12383866843552,,70.91547225180737,57.0,,2014,
36,36,2014-02-06,,67.67114676790588,,67.07382463305153,,65.57647166747321,,64.57911823056246,,63.63579820252225,,64.11124549262837,81.0,,2014,
37,37,2014-02-07,,72.9983784973336,,72.8193038184537,,71.93927301128883,,70.8046104456171,,69.00533591363154,,73.6296481267162,68.0,,2014,
38,38,2014-02-08,,101.26596746368125,,101.04852865415302,,100.70142287053173,,99.66129845895057,,95.92703715576484,,98.55795389842105,57.0,,2014,
39,39,2014-02-09,,109.87562094130541,,109.6793311103516,,109.60602319861013,,103.50858529536495,,99.52027154339376,,97.65772188963277,76.0,,2014,
40,40,2014-02-10,,74.76315164238692,,74.16819822574492,,73.62044111093832,,71.23482973583303,,67.49147024044268,,70.86399404972964,87.0,,2014,
41,41,2014-02-11,,68.66582893844773,,67.46153909138022,,67.06431936514808,,64.00809216495315,,61.11436024585986,,62.342880208386006,43.0,,2014,
42,42,2014-02-12,,67.90305355947662,,67.24282897992413,,66.28173483415713,,63.876093759915406,,62.149937946903776,,64.33114707191918,67.0,,2014,
43,43,2014-02-13,,62.92328420626184,,61.7323972807543,,60.19860520213413,,57.965578722048505,,57.01978769812327,,57.739437964694986,72.0,,2014,
44,44,2014-02-14,,68.13977239115599,,67.46747497401012,,66.54979965070973,,64.35366852808033,,62.8412021323398,,67.55156450416273,48.0,,2014,
45,45,2014-02-15,,96.34638467552823,,95.74860663401971,,95.36551799530172,,93.49076584486733,,90.30599460878521,,92.85439715821234,64.0,,2014,
46,46,2014-02-16,,104.9508942804429,,104.49722791812732,,104.39277630283352,,97.7383496666709,,94.52852448083709,,92.40702097443003,119.0,,2014,
