,date,trend,num_victims,data_copy
0,2014-01-01,129.4492985766864,220.0,2014-01-01
1,2014-01-02,129.50657990811183,103.0,2014-01-02
2,2014-01-03,129.56386123953726,119.0,2014-01-03
3,2014-01-04,129.6211425709627,146.0,2014-01-04
4,2014-01-05,129.67842390238812,127.0,2014-01-05
5,2014-01-06,129.73570523381355,109.0,2014-01-06
6,2014-01-07,129.79298656523898,78.0,2014-01-07
7,2014-01-08,129.8502678966644,118.0,2014-01-08
8,2014-01-09,129.90754922808983,128.0,2014-01-09
9,2014-01-10,129.96483055951526,94.0,2014-01-10
10,2014-01-11,130.0221118909407,156.0,2014-01-11
11,2014-01-12,130.07939322236612,143.0,2014-01-12
12,2014-01-13,130.13667455379155,151.0,2014-01-13
13,2014-01-14,130.19395588521695,154.0,2014-01-14
14,2014-01-15,130.2512372166424,146.0,2014-01-15
15,2014-01-16,130.30851854806784,132.0,2014-01-16
16,2014-01-17,130.36579987949327,146.0,2014-01-17
17,2014-01-18,130.4230812109187,152.0,2014-01-18
18,2014-01-19,130.4803625423441,154.0,2014-01-19
19,2014-01-20,130.53764387376955,156.0,2014-01-20
20,2014-01-21,130.59492520519495,121.0,2014-01-21
21,2014-01-22,130.6522065366204,117.0,2014-01-22
22,2014-01-23,130.7094878680458,107.0,2014-01-23
23,2014-01-24,130.76676919947124,87.0,2014-01-24
24,2014-01-25,130.82405053089667,174.0,2014-01-25
25,2014-01-26,130.8813318623221,131.0,2014-01-26
26,2014-01-27,130.93861319374756,123.0,2014-01-27
27,2014-01-28,130.99589452517296,108.0,2014-01-28
28,2014-01-29,131.0531758565984,89.0,2014-01-29
29,2014-01-30,131.11045718802382,102.0,2014-01-30
30,2014-01-31,131.16773851944924,119.0,2014-01-31
31,2014-02-01,131.22501985087467,133.0,2014-02-01
32,2014-02-02,131.2823011823001,121.0,2014-02-02
33,2014-02-03,131.33958251372553,109.0,2014-02-03
34,2014-02-04,131.39686384515096,95.0,2014-02-04
35,2014-02-05,131.4541451765764,103.0,2014-02-05
36,2014-02-06,131.51142650800182,121.0,2014-02-06
37,2014-02-07,131.56870783942725,95.0,2014-02-07
38,2014-02-08,131.62598917085268,89.0,2014-02-08
39,2014-02-09,131.6832705022781,107.0,2014-02-09
40,2014-02-10,131.74055183370353,115.0,2014-02-10
41,2014-02-11,131.79783316512896,66.0,2014-02-11
42,2014-02-12,131.8551144965544,105.0,2014-02-12
43,2014-02-13,131.91239582797982,82.0,2014-02-13
44,2014-02-14,131.96967715940525,85.0,2014-02-14
45,2014-02-15,132.02695849083068,86.0,2014-02-15
46,2014-02-16,132.0842398222561,140.0,2014-02-16
47,2014-02-17,132.14152115368154,93.0,2014-02-17
48,2014-02-18,132.19880248510697,99.0,2014-02-18
49,2014-02-19,132.2560838165324,105.0,2014-02-19
50,2014-02-20,132.3133651479578,112.0,2014-02-20
51,2014-02-21,132.37064646993716,103.0,2014-02-21
52,2014-02-22,132.42792779191652,121.0,2014-02-22
53,2014-02-23,132.48520911389585,133.0,2014-02-23
54,2014-02-24,132.54249043587518,105.0,2014-02-24
55,2014-02-25,132.59977175785457,82.0,2014-02-25
56,2014-02-26,132.6570530798339,57.0,2014-02-26
57,2014-02-27,132.71433440181323,80.0,2014-02-27
58,2014-02-28,132.7716157237926,61.0,2014-02-28
59,2014-03-01,132.82889704577195,135.0,2014-03-01
60,2014-03-02,132.88617836775128,79.0,2014-03-02
61,2014-03-03,132.94345968973062,81.0,2014-03-03
62,2014-03-04,133.00074101170998,70.0,2014-03-04
63,2014-03-05,133.05802233368934,108.0,2014-03-05
64,2014-03-06,133.11530365566867,81.0,2014-03-06
65,2014-03-07,133.172584977648,95.0,2014-03-07
66,2014-03-08,133.22986629962736,120.0,2014-03-08
67,2014-03-09,133.28714762160672,128.0,2014-03-09
68,2014-03-10,133.34442894358605,101.0,2014-03-10
69,2014-03-11,133.4017102655654,117.0,2014-03-11
70,2014-03-12,133.45899158754474,97.0,2014-03-12
71,2014-03-13,133.5162729095241,80.0,2014-03-13
72,2014-03-14,133.57355423150344,107.0,2014-03-14
73,2014-03-15,133.6308355534828,122.0,2014-03-15
74,2014-03-16,133.68811687546213,143.0,2014-03-16
75,2014-03-17,133.7453981974415,130.0,2014-03-17
76,2014-03-18,133.80267951942082,102.0,2014-03-18
77,2014-03-19,133.85996084140018,114.0,2014-03-19
78,2014-03-20,133.9172421633795,114.0,2014-03-20
79,2014-03-21,133.97452348535887,111.0,2014-03-21
80,2014-03-22,134.0318048073382,140.0,2014-03-22
81,2014-03-23,134.08908612931756,164.0,2014-03-23
82,2014-03-24,134.1463674512969,112.0,2014-03-24
83,2014-03-25,134.20364877327626,123.0,2014-03-25
84,2014-03-26,134.26093009525562,91.0,2014-03-26
85,2014-03-27,134.31821141723495,112.0,2014-03-27
86,2014-03-28,134.37549273921428,119.0,2014-03-28
87,2014-03-29,134.43277406119364,118.0,2014-03-29
88,2014-03-30,134.490055383173,153.0,2014-03-30
89,2014-03-31,134.54733670515233,128.0,2014-03-31
90,2014-04-01,134.60461802713166,110.0,2014-04-01
91,2014-04-02,134.66189934911102,122.0,2014-04-02
92,2014-04-03,134.71918067109038,107.0,2014-04-03
93,2014-04-04,134.77646199306972,124.0,2014-04-04
94,2014-04-05,134.83374331504905,124.0,2014-04-05
95,2014-04-06,134.8910246370284,152.0,2014-04-06
96,2014-04-07,134.94830595900777,98.0,2014-04-07
97,2014-04-08,135.0055872809871,128.0,2014-04-08
98,2014-04-09,135.06286860296646,126.0,2014-04-09
99,2014-04-10,135.12014992494582,107.0,2014-04-10
100,2014-04-11,135.17743129517893,121.0,2014-04-11
101,2014-04-12,135.23471266541205,140.0,2014-04-12
102,2014-04-13,135.29199403564516,122.0,2014-04-13
103,2014-04-14,135.34927540587827,118.0,2014-04-14
104,2014-04-15,135.40655677611142,95.0,2014-04-15
105,2014-04-16,135.46383814634453,103.0,2014-04-16
106,2014-04-17,135.52111951657764,104.0,2014-04-17
107,2014-04-18,135.57840088681075,119.0,2014-04-18
108,2014-04-19,135.63568225704387,107.0,2014-04-19
109,2014-04-20,135.69296362727698,138.0,2014-04-20
110,2014-04-21,135.75024499751012,118.0,2014-04-21
111,2014-04-22,135.80752636774324,119.0,2014-04-22
112,2014-04-23,135.86480773797635,99.0,2014-04-23
113,2014-04-24,135.9220891082095,110.0,2014-04-24
114,2014-04-25,135.9793704784426,132.0,2014-04-25
115,2014-04-26,136.03665184867572,154.0,2014-04-26
116,2014-04-27,136.09393321890883,121.0,2014-04-27
117,2014-04-28,136.15121458914194,106.0,2014-04-28
118,2014-04-29,136.20849595937509,118.0,2014-04-29
119,2014-04-30,136.2657773296082,104.0,2014-04-30
120,2014-05-01,136.3230586998413,86.0,2014-05-01
121,2014-05-02,136.38034007007442,113.0,2014-05-02
122,2014-05-03,136.43762144030754,130.0,2014-05-03
123,2014-05-04,136.49490281054065,145.0,2014-05-04
124,2014-05-05,136.5521841807738,111.0,2014-05-05
125,2014-05-06,136.6094655510069,104.0,2014-05-06
126,2014-05-07,136.66674692124005,109.0,2014-05-07
127,2014-05-08,136.72402829147316,123.0,2014-05-08
128,2014-05-09,136.78130966170627,122.0,2014-05-09
129,2014-05-10,136.8385910319394,162.0,2014-05-10
130,2014-05-11,136.8958724021725,157.0,2014-05-11
131,2014-05-12,136.9531537724056,115.0,2014-05-12
132,2014-05-13,137.01043514263876,136.0,2014-05-13
133,2014-05-14,137.06771651287187,126.0,2014-05-14
134,2014-05-15,137.12499788310498,136.0,2014-05-15
135,2014-05-16,137.1822792533381,130.0,2014-05-16
136,2014-05-17,137.2395606235712,177.0,2014-05-17
137,2014-05-18,137.29684199380432,150.0,2014-05-18
138,2014-05-19,137.35412336403746,150.0,2014-05-19
139,2014-05-20,137.41140473427058,147.0,2014-05-20
140,2014-05-21,137.46868610450372,138.0,2014-05-21
141,2014-05-22,137.52596747473683,104.0,2014-05-22
142,2014-05-23,137.58324884496994,147.0,2014-05-23
143,2014-05-24,137.64053021520306,168.0,2014-05-24
144,2014-05-25,137.69781158543617,168.0,2014-05-25
145,2014-05-26,137.75509295566928,199.0,2014-05-26
146,2014-05-27,137.81237432590243,153.0,2014-05-27
147,2014-05-28,137.86965569613554,117.0,2014-05-28
148,2014-05-29,137.92693706636868,154.0,2014-05-29
149,2014-05-30,137.98421843660176,162.0,2014-05-30
150,2014-05-31,138.04149977041445,178.0,2014-05-31
151,2014-06-01,138.0987811042271,144.0,2014-06-01
152,2014-06-02,138.15606243803978,146.0,2014-06-02
153,2014-06-03,138.21334377185246,145.0,2014-06-03
154,2014-06-04,138.27062510566512,173.0,2014-06-04
155,2014-06-05,138.3279064394778,152.0,2014-06-05
156,2014-06-06,138.38518777329045,141.0,2014-06-06
157,2014-06-07,138.44246910710314,149.0,2014-06-07
158,2014-06-08,138.49975044091582,153.0,2014-06-08
