group,variable,value,white,black
1,1,100,:,:
2,1,100,:,:
3,1,100,:,:
4,1,100,:,:
W,1,100,:,:
B,1,100,:,:
1,2,100,:,:
2,2,100,:,:
3,2,100,:,:
4,2,100,:,:
W,2,100,:,:
B,2,100,:,:
1,3,100,:,:
2,3,100,:,:
3,3,100,:,:
4,3,100,:,:
W,3,100,:,:
B,3,100,:,:
1,4,100,:,:
2,4,100,:,:
3,4,100,:,:
4,4,100,:,:
W,4,100,:,:
B,4,100,:,:
1,5,100,:,:
2,5,100,:,:
3,5,100,:,:
4,5,100,:,:
W,5,100,:,:
B,5,100,:,:
1,6,100,:,:
2,6,100,:,:
3,6,100,:,:
4,6,100,:,:
W,6,100,:,:
B,6,100,:,:
1,7,100,:,:
2,7,100,:,:
3,7,100,:,:
4,7,100,:,:
W,7,100,:,:
B,7,100,:,:
1,8,100,:,:
2,8,100,:,:
3,8,100,:,:
4,8,100,:,:
W,8,100,:,:
B,8,100,:,:
